simulation_id,full_transcript,reason,steps
AT&T - Transition to Sales- Assessment for Work from Home Agent,"SYM: Being an AT&T work from home agent is not only rewarding, but also fun helping customers achieve more and realize more value from AT&T. In this simulation you have resolved a customers concern regarding their device, but then have an opportunity to transition to sales. There are 2 different transitions where we want to know what you would do. What would you say in response?
TRAINEE: Thank you for calling AT&T. I hope we resolved your issue today. Is there anything else I can assist you with?
SYM: No, I just really needed to reset my data hotspot because it's my backup when the cable goes out.
SYM: OK.... stop... How would you respond here?
TRAINEE: Respond here.
SYM: Thanks for the offer but I can't have my internet backup and my main internet service provider be from the same company, because I start working from home next month and need a reliable backup plan.
SYM: OK.... stop... How would you respond here?
TRAINEE: Respond here.
SYM: This concludes your simulation.",The customer called to reset their data hotspot as a backup for internet outages.,"[""Step 1: Confirm the data hotspot reset is complete and ensure it's functioning properly."", 'Step 2: Offer to discuss alternative backup internet solutions or services that might better suit their needs for working from home.']"
Arise_Carnival CS - Mock Call Assessment (Tollgate),"TRAINEE: Thank you for calling Carnival, my name is [Agent Name]. May I have your name and booking number, please?
SYM: Hi. My name is Mary, and my booking number is G H 6 0 J 8.
TRAINEE: Great, Thank you. I will pull that up for you.
TRAINEE: May I have your pin number please?
SYM: 4 5 6 5.
TRAINEE: Thank you for that.
TRAINEE: I see that you and John are sailing on Carnival Horizon, December 6th, 2025, is that correct?
SYM: Yes.
TRAINEE: I see your email address is marytest@email.com, and your mobile number is 555 987-1234. You are currently not signed up for text alerts, would you like it to stay that way?
SYM: Yes, I do not want text alerts.
TRAINEE: And Mary, did you want to purchase the Carnival Vacation Protection today?
SYM: No, thank you.
TRAINEE: Ok, Mary. How can I help you today?
SYM: I wanted to purchase the transfers.
TRAINEE: No problem, Mary let me check a few things for you.
SYM: Ok.
TRAINEE: Thank you for your patience, Mary. Do you know what airport you’re flying into?
SYM: Yes, the Miami International Airport.
TRAINEE: Ok, great. If you fly into Miami it will be $22.99 one way, or $45.98 round trip, and I do have to tell you the recommended flight time for the pre cruise transfer is no later than 12PM, and the earliest flight for debarkation is no earlier than 12PM. Did you want to purchase for both guests?
SYM: Yes .
TRAINEE: Great, I will go ahead and add it for both guests.
TRAINEE: Mary, may I confirm these changes?
SYM: Yes, please add them.
TRAINEE: Thank you, I’ve added the transfers for both guests. Do you have any other questions today, Mary?
SYM: Yes, I have one more question, can you tell me about the ‘Behind the Fun’ tour ?
TRAINEE: I’d be more than happy to tell you about that, Mary. One moment while I pull up the information.
TRAINEE: Ok, Mary, you now have the option to book the ‘Behind the Fun’ tour before your cruise. It includes a limited edition ‘Behind the Fun’ baseball cap that marks you as an honorary team member, complimentary commemorative photos, some Carnival-branded goodies, and light snacks and pastries.
TRAINEE: Since you'll be sailing on the Carnival Horizon, the tour starts at $130. It runs about 3 to 3¾ hours and gives you an exclusive behind-the-scenes look at the ship. You’ll get to see the bridge, the engine control room, the main galley, staff dining areas, storerooms, the laundry, and more. It’s a rare chance to explore parts of the ship most guests never get to see.
SYM: Awesome I will go on Carnival.com and book that.
TRAINEE: That's great, each tour is limited to 16 people so booking in advance is recommended.
TRAINEE: Mary, do you have any other questions for me today?
SYM: No, that is all I had for you today.
TRAINEE: It’s been my pleasure to assist you, Mary. Would you mind if I sent you a survey about my service today?
SYM: Yes, you can do that.
TRAINEE: Thank you for calling Carnival, Have a great day!",The customer called to purchase transfers for their cruise and inquire about the 'Behind the Fun' tour.,"['Confirm booking details and verify customer identity.', 'Provide transfer options and pricing, then add transfers for both guests.', ""Explain the 'Behind the Fun' tour details and recommend booking in advance.""]"
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,"TRAINEE: Carnival Fun Ships, this is [Agent Name]. May I have your name, please?
SYM: My name is Alice Test.
TRAINEE: Hi, Alice. Are you currently booked on one of our Fun Ships or working with a Travel Advisor?
SYM: No, I’m calling in to see if you can help me plan my cruise.
TRAINEE: I’ll be happy to get your cruise booked today.
TRAINEE: May I have your phone number?
SYM: Sure, it is 305-222-3333.
TRAINEE: Thank you!
TRAINEE: What state do you live in?
SYM: Florida.
TRAINEE: Thank you.
TRAINEE: Alice, may I have your email address?
SYM: Sure! It's alice test@email.com.
TRAINEE: Thank you! May I have your address?
SYM: Sure! It's 1 2 3 Maple Street, Miami, Florida, 3 3 1 0 1.
TRAINEE: Thank you.
TRAINEE: Have you cruised with Carnival before?
SYM: No, this is my first cruise.
TRAINEE: Welcome to Carnival. I’m so glad you chose to sail with us. Are you celebrating anything special?
SYM: I’m just wanting to plan a fun getaway vacation for just myself and my husband.
TRAINEE: Fantastic! So, it sounds like you are looking for one cabin for two guests, right?
SYM: Yes.
TRAINEE: Would anyone traveling have the need for special accommodations or is pregnant?
SYM: No.
TRAINEE: And to make sure I don’t miss any promotions for you, is anyone traveling an employee of an interline company such as a passenger airline, Amtrak, or UPS or FedEx?
SYM: No.
TRAINEE: Anyone serve in the U.S. Armed Forces, Canadian National Defense or over the age of 55?
SYM: No, not yet.
TRAINEE: Has your husband sailed with Carnival before?
SYM: No.
TRAINEE: And you mentioned earlier, you live in Florida, correct?
SYM: Yes
TRAINEE: What ship and sail date have you picked out?
SYM: I’m interested in sailing on the Carnival Breeze sailing April 1, 2027.
TRAINEE: I’m glad you are calling in to book today, that’s a popular time to travel over spring break. Bear with me a moment as I pull that up.
TRAINEE: Your cruise will be on the Breeze sailing April 1, 2027, out of the port of Galveston on a 4-day Western Caribbean itinerary. Your boarding time is from 12:30 p.m. to 2:00 p.m. and you will be visiting Cozumel, Mexico with 2 fun days at sea.
SYM: Yes, that's the one we want.
TRAINEE: Awesome!
TRAINEE: Your ship, the Breeze, has 14 passenger decks. It has an adult serenity retreat that is only for guests 21 and older where you can sit back, relax, and smell the sea breeze. It also has a seaside theater where you can watch movies under the stars. There are some great additional food options too, like Guy’s Burger Joint, which has the best burgers.
SYM: My husband loves burgers. Sounds good!
TRAINEE: Great!
TRAINEE: Things included in your cruise are breakfast, lunch, dinner, snacks, ice cream, pizza, comedy shows, and our amazing stage shows. Not included are our spa treatments, alcoholic beverages, carbonated beverages, gratuities, and if you want to try your luck in our casino at sea.
SYM: This sounds perfect for us.
TRAINEE: Great! Now, let’s find you the best deal for your cruise.
TRAINEE: We have a lot of great promotions. I’m seeing the best promotion for you today is our Early Saver Promotion.
TRAINEE: The Early Saver promotion guarantees you the lowest rate from the day that you book all the way until two business days prior to your sailing. If at any time the rate drops below what you booked at, you can fill out a price protection form online and have the balance adjusted before final payment or get the difference as an onboard credit after final. Keep in mind this promotion does not allow name changes and if you cancel or move your sailing prior to final payment date it’s only $50 per person fee and the rest of the money gets put towards a future cruise credit which you have 12 months to use.
SYM: Okay.
TRAINEE: What kind of cabin would you prefer? They're all very spacious. We have an interior cabin with no windows, an Ocean View with a big picture window, a Balcony cabin that gives you both a window and your own private balcony, and our largest option - a Suite, which has even more space and a balcony.
SYM: We would like to have a Balcony cabin.
TRAINEE: Great choice! That’s my favorite, too.
TRAINEE: I’m looking forward to finding you a great balcony.
TRAINEE: I found a great cabin for you. It’s on our Lido Deck, Deck 10. There are only 4 cabins left that accommodate 2 guests on this deck so I’m glad you called in today. This will put you in the middle of the ship. Let’s look at the details about your cabin.
TRAINEE: Your cabin has 220 square feet, two twin size beds that will convert to a king for you, and your own private balcony. One of the best things about a balcony is how you can enjoy your morning coffee or a glass of wine at night while you enjoy the sounds, smell, and view of the ocean from your own private balcony.
SYM: Sounds perfect for us.
TRAINEE: Awesome, let me get the pricing for your cabin.
TRAINEE: Your cabin is only an average rate of $829 per person including taxes and fees based upon 2 guests in the cabin. Carnival Vacation Protection is $190 for the cabin, giving you a total of $1848.00.
TRAINEE: All we need to get started today is a small deposit of $340, which includes activation of your Carnival Vacation Protection. The remaining balance won't be due until your final payment date of 1/16/2027. Would you like to book this with early, late or your-time dining?
SYM: Let’s book for a late dining.
TRAINEE: Wonderful!
TRAINEE: One moment while I grab your cabin.
TRAINEE: I have the perfect cabin for you, cabin number 10277.
TRAINEE: After this call, you will receive an email confirmation. Please read the terms and conditions of your email cruise ticket contract, as you are legally bound by the terms.
SYM: Okay.
TRAINEE: May I have each name as it appears on their travel documents?
SYM: Alice Test 05/14/1985 and James Test 9/24/1984.
TRAINEE: Thank you! Just to confirm, that was Alice Test with date of birth 05/14/1985 and you said it was your husband traveling with you, James Test, with his date of birth 9/24/1984?
SYM: That is correct.
TRAINEE: Is everyone traveling a U.S. Citizen and U.S. Resident?
SYM: Yes, we are.
TRAINEE: Thank you!
TRAINEE: And you mentioned earlier you both live in Florida, correct?
SYM: Correct.
TRAINEE: Would you like to go ahead and include your prepaid gratuities, or will you be taking care of that onboard?
SYM: I think I’ll handle that onboard.
TRAINEE: Okay, thanks!
TRAINEE: I selected your dinner time as Late Dining as you requested earlier.
SYM: Great!
TRAINEE: Please choose a 4-digit pin number that is easy for you to remember for security purposes.
SYM: How about 2 4 8 7.
TRAINEE: 2487, got it!
TRAINEE: And to confirm does anyone traveling have a special need or pregnant?
SYM: No
TRAINEE: And you mentioned earlier you were sailing for a fun get away. No special occasions, right?
SYM: Correct, not this time. This time it is just for fun.
TRAINEE: Thank you!
TRAINEE: May I have your email address so we can contact you in case of itinerary changes or voyage delays?​
SYM: Let’s use my same email earlier for me at alice test @ email.com and james test @ email.com for my husband.​
TRAINEE: Thank you!
TRAINEE: May I have an alternate contact telephone number?
SYM: Sure, my cell phone is 305-222-3333.
TRAINEE: Thank you! Would you like a text to be sent to your mobile number for all sailing changes and payment reminders?
SYM: Yes, please.
TRAINEE: Bear with me a moment as I finish creating your booking.
SYM: Okay.
TRAINEE: I’m almost done. I’m just putting some additional notes on your booking.
TRAINEE: Your booking number is X9SN55. You are sailing on the Breeze doing a 4-day Western Caribbean itinerary. We have you in that amazing balcony cabin, 10277. The total cost of your cruise is $1848 with only your deposit of $340 due today.
TRAINEE: Are you taking care of this payment now or would you like to hear more about our partner, Flex Pay, where you could book this for as little as $0 down and pay for up to 24 months with affordable rates?
SYM: I’m going to use my Visa Card.
TRAINEE: Okay, great!
TRAINEE: May I have the name of the card holder?
SYM: It’s my name on the card.​ Alice Test.
TRAINEE: May I have the expiration date and billing zip code?
SYM: It is April 2028, and my zip code is 3 3 1 3 3.
TRAINEE: Thank you, I have April 2028 and zip code of 33133, correct?
SYM: Yes.
TRAINEE: Would you like to pay just the deposit of $340 today?
SYM: Yes, the deposit only.
TRAINEE: As a courtesy for you, we can go ahead and set up Auto Pay for you interest free and split your final payment amount into equal amounts of $71.81 starting on May 1, 2025. Would you like to go ahead and take advantage of this?
SYM: Yes, let’s go ahead and set that up.
TRAINEE: Okay, perfect.
TRAINEE: Now that I’ve verified the name of the cardholder, expiration date, zip code, and payment amount, I will be placing you into Secure Mode where I will prompt you to enter your credit card number. ​ ​
TRAINEE: During this time, you will be able to hear me, however, I will not be able to hear you. It is important that when entering your credit card number, you are not using speakerphone or a Bluetooth device. ​
TRAINEE: After you input your credit card number, Secure Mode will drop, and our call will reconnect, allowing me to hear you again. Then, I can verify payment. Do you have your credit card ready?
SYM: Yes.
TRAINEE: Do you have any questions before I place you into Secure Mode?​
SYM: No.
TRAINEE: You are now in Secure Mode. Please enter your credit card information.
TRAINEE: Thank you for your payment of $340.00. Before I submit, are the last few digits 4444?
SYM: Yes.
TRAINEE: I see your payment of $340.00 has processed.
TRAINEE: I am going to send your cabin confirmation now.
TRAINEE: You are all set. Keep in mind that adding or removing a guest will change the average rate per person. Please refer to your confirmation that I am emailing you now or you can go on the website to carnival.com/bookedguest for your electronic documents, boarding pass, travel docs, and penalty information.
SYM: Okay.
TRAINEE: Proper travel documentation is due upon embarkation and Carnival highly recommends a passport.
TRAINEE: Is there anything else I can help you with today?
SYM: That’s all.
TRAINEE: Super! As a reminder, you will be receiving an email survey about my service today. I appreciate your feedback.
SYM: Sure, you really made this whole process very easy.
TRAINEE: Thank you for choosing Carnival and you have a Funtastic day!",The customer called to plan and book a cruise for a fun getaway vacation for herself and her husband.,"['Collect customer information and preferences', 'Select cruise details (ship, date, itinerary, cabin type)', 'Explain promotions and pricing', 'Process payment and set up auto-pay', 'Confirm booking and send email confirmation']"
Arise_Disney Resorts Reservations - Booking Multiple Rooms Package Reservation ~ ADV,"TRAINEE: Thank you for calling Walt Disney World Resorts, where celebrations are our specialty. My name is {Stage Name}. How may I assist you?
SYM: Hello, I would like to make a reservation.
TRAINEE: I’d be happy to assist you and thank you for choosing Disney as your vacation destination.
TRAINEE: May I have your last name and email address?
SYM: Callahan, and my email is jcallahan at animail.net.
TRAINEE: Thank you, Joan! What dates and how many nights would you like to stay with us?
SYM: Checking-In on November 24th, 2025, and Checking-Out on November 30th, 2025.
TRAINEE: Thank you, Joan, who will be traveling with you?
SYM: My husband Klein.
TRAINEE: Thank you, Joan, who else will be traveling with you?
SYM: My son, Carrillo.
TRAINEE: Thank you, Joan, will there being anyone else traveling with you?
SYM: Yes, my daughter Bridget.
TRAINEE: Thank you.
TRAINEE: Have you decided on which resort you would like to stay at?
SYM: Contemporary Resort.
TRAINEE: Have you stayed at this resort before?
SYM: We have; we love the resort, it’s our favorite.
TRAINEE: It’s one of my favorites also. I love how the Monorail travels through the middle of the resort.
TRAINEE: Joan, will you need theme park tickets?
SYM: Yes, a 6-day ticket with the Park Hopper Plus.
TRAINEE: Would you like to include a dining plan?
SYM: Yes, I’d like the Disney Dine Plan.
TRAINEE: Would you like to include vacation protection in your package for only $95.00 per adult inclusive of children up to 17 years old? It can cover trip cancellation and trip interruption.
SYM: No, thanks. We will need 2 rooms as we would like the kids to have their own room.
TRAINEE: I will be happy to assist you, please give me a few moments to check the availability.
TRAINEE: Would you like to include Memory Maker? Memory Maker is an incredible way to enjoy unlimited digital Disney Photo Pass photos captured at hundreds of locations throughout Walt Disney World Resort—including select attraction and dining locations. The photos are conveniently connected to your online Disney account with a touch of your MagicBand, MagicMobile or Key to the World Card. It is regularly $210, with the advanced price of $185 if purchased at least 3 days prior.
SYM: No, thanks.
TRAINEE: Will you be flying or driving?
SYM: We’re flying.
TRAINEE: Will you need a rental car?
SYM: No, we don’t need one.
TRAINEE: Joan, I do have availability, at Disney’s Contemporary Resort, with a Garden Wing – Resort View, with 2 Rooms arriving on November 24th, 2025, checking out on November 30th, 2025, with the Disney Dining Plan and a 6 Day Park Hopper Plus Theme Park Ticket Valid Monday, November 24th, 2025, thru Wednesday, December 3rd, 2025, your total cost will be $15,727.38 Without travel protection, including tax. This would not include the overnight parking fee that will be charged at the resort upon arrival.​
TRAINEE: Would you like to secure the reservation for you and your family today? It will only be a $200 deposit the remaining balance will be due 30 days prior to arrival.
SYM: Yes, this sounds perfect.​
TRAINEE: Joan, I do have a few policies to review: A deposit of $200.00 is due on August 20, 2025. The balance is due on October 25, 2025. Modifications within 29 days of arrival are subject to a $50.00 change fee. If you cancel the reservation 29-2 days before arrival, there is a $200 cancellation fee. If you cancel the reservation the day prior to or the day of arrival, the full package price is non-refundable. Gratuity is not included with the Dining Plan. Your Tickets will be valid Monday, November 24th, 2025, to Wednesday, December 23rd, 2025.
TRAINEE: Do you have any questions?
SYM: No, I don’t.
TRAINEE: Joan, I have a reservation for you, Klein Callahan, Bridget Callahan (4 years old), and Carrillo (12 years old). Staying at Disney’s Contemporary Resort in a Garden Wing – Resort View Room with 2 Rooms, Disney Dining Plan and 6 Day Theme Park Ticket with the Park Hopper Plus – Checking in on November 24th, 2025, – Checking out on November 30th, 2025.
TRAINEE: Your confirmation number is 27015181.
TRAINEE: Your deposit of $200.00 is due on August 20th, 2025, with the remaining balance due 30 days prior to arrival on October 25th, 2025.
TRAINEE: Your total reservation is $15,727.38.
TRAINEE: Would you like to use your Disney Visa Card for your deposit today?
SYM: Yes, please.
TRAINEE: Joan, may I have your credit card number, please?
SYM: 4 2 6 6 - 9 0 2 0 - 0 0 1 8 - 4 2 2 4.
TRAINEE: Thank you.
TRAINEE: May I have the expiration month and year, please?
SYM: December 2025.
TRAINEE: Thank you.
TRAINEE: Joan, is the name and address on the reservation the same name and address on your credit card?
SYM: Yes.
TRAINEE: Joan, would you like to use this credit card for charges incurred during your stay?
SYM: Yes.
TRAINEE: Joan, your remaining balance is $15,527.38 due 30 days prior to arrival, October 25th, 2025.
TRAINEE: Joan, you can link your reservation to MyDisneyExperience.com or the mobile app.
TRAINEE: Our website and app also allow you to book and manage your upcoming ticket, park and dining reservations at Walt Disney World.
TRAINEE: You can begin booking your dining reservations 60 days prior to arrival.
TRAINEE: Is there a birthday or anything special you will be celebrating during your visit that you would like me to note?
SYM: No, thank you.
TRAINEE: Joan, is there anything else I can assist you with today?
SYM: No, thank you!
TRAINEE: I have a survey at the end of the call and would greatly appreciate your feedback. Thank you for calling Walt Disney Resorts. We look forward to seeing you in November. Have a Magical Day.",The customer called to make a reservation for a family vacation at Walt Disney World Resorts.,"['Collect customer details and travel dates', 'Select resort and room preferences', 'Add theme park tickets and dining plan', 'Confirm availability and total cost', 'Process deposit payment and provide confirmation']"
BN_CANCEL_RELEASED_ORDER_ADV,"TRAINEE: Thank you for calling Barnes and Noble. My name is (Your Name). How can I help you?
SYM: Hello. My name is Anita Napp. I just called and the nice man told me that he would send me a new copy of my book because it wasn't delivered. As soon as we hung up, my mail was delivered. The book was in today's mail! Can you cancel the new order that was just placed?
TRAINEE: No problem, Anita. I would be happy to see if we can cancel the new order for you. Can I have your Order Number, please?
SYM: Sure, my order number is 6123456789.
TRAINEE: Thank you. Can I please have you verify your email address?
SYM: Sure. My email address is anita napp at gmail.com.
TRAINEE: Thank you. What is the shipping address on the order?
SYM: My address is 1 2 3 Main Street. That's in Anytown, Ohio 4 3 5 5 5.
TRAINEE: Thank you. One moment while I research to see if I can cancel the order.
TRAINEE: Your order is in a status that I can't make any changes, but I can send a cancel request to the warehouse. I can't promise that it will be cancelled, but we will update you within 24 hours whether we can cancel the order or not. Would you like me to proceed with canceling the order?
SYM: Yes, I don't need two copies of the same book.
TRAINEE: No problem. One moment while I send the request.
TRAINEE: Thank you for your patience. I've sent the request to cancel your order. You'll receive an email within 24 hours to let you know if we can cancel the order or not. You can return it if we can't get it canceled.
SYM: Ok, thanks. I appreciate it.
TRAINEE: You're welcome. Is there anything else I can assist you with today?
SYM: No, that's it. Thanks.
TRAINEE: Thank you for calling Barnes and Noble. Have a great day.",The customer called to cancel a replacement order for a book that was delivered after the order was placed.,"[""Verify the customer's order number and email address."", 'Check the order status and send a cancellation request to the warehouse.', 'Inform the customer that they will receive an email update within 24 hours regarding the cancellation status.']"
BN_ORDER_LOST_REPLACE_ADV,"TRAINEE: Thank you for calling Barnes and Noble. My name is (Your Name). How can I help you?
SYM: Hi. I placed an order and wanted to know the status. I should have received my order by now. I really need the books to give them as a gift next week.
TRAINEE: I'm sorry you haven't received your order. I would be happy to check the status of your order. Can I have your order number, please?
SYM: My order number is 4 1 3 6 3 3 3 9 3 0.
TRAINEE: Thank you. One moment while I locate your order.
SYM: No problem. I appreciate it.
TRAINEE: Can I have you verify your email address, please?
SYM: Sure. My email address is anita napp at gmail.com.
TRAINEE: Great, thanks! What is your shipping address, please?
SYM: My address is 5 7 2 Angel Place, Sunny, California 9 0 2 1 0.
TRAINEE: Thank you. Just a moment please, while I research your order.
TRAINEE: Thank you for your patience. I can see your order shipped on January 17th and was expected to be delivered by January 24th. One moment while I review the tracking details.
SYM: Okay, thanks. I appreciate your help.
TRAINEE: Thank you for your patience. I've checked the tracking, and I can see that is was delivered on January 24th. Have you checked your mailbox and all of the doors?
SYM: Yes. I checked everywhere, and I still can't find the package.
TRAINEE: I'm going to consider your order lost in transit. Give me a moment while I check the available options.
SYM: Sure.
TRAINEE: Great news! I have the items in stock, and can have your order replaced free of charge. Would you like me to replace them?
SYM: Yes, I want them replaced. I need them for a gift next week.
TRAINEE: Absolutely! Due to the inconvenience, I will upgrade the shipping level as well.
SYM: Ok, thanks! That would be great, and will help so much!
TRAINEE: Of course. It's my pleasure since you didn't receive them.
TRAINEE: Are there any changes to the delivery address that we need to make?
SYM: No, it will go to the same address, but can you add apartment B onto the shipping address?
TRAINEE: Yes, I can update the address to include your apartment number.
TRAINEE: The expected delivery date for your order would be on Friday, February 3rd.
SYM: Ok, sounds good. That should be before the party.
TRAINEE: You'll receive an email confirming the order shortly. You will also receive a shipping confirmation email when the order ships, which includes tracking information.
TRAINEE: Your new order number is 6180000649. I will also email you a return label in case you receive the original and the replacement.
SYM: I just received the first email. Thank you.
TRAINEE: You're welcome. Is there anything else I can assist you with?
SYM: No, that's it. Thanks!
TRAINEE: Thank you! Have a great day, and thanks for calling Barnes and Noble.","The customer called to check the status of an order that was expected but not received, needing the books as a gift next week.","['Verify order details and tracking information.', 'Confirm the order is lost in transit and offer a replacement.', 'Update shipping address and expedite delivery.', 'Provide new order number and email confirmations.']"
C2 Car insurance claim - FNOL – ADVANCED,"SYM: In this simulation, you will learn how to create an F N O L claim for a car insurance company.
SYM: STEP 1 - Opening.
SYM: [Phone rings]
TRAINEE: Thank you for calling ABC Insurance. My name is [YOUR NAME]. How may I assist you today?
SYM: Hi. I need to file a car insurance claim for an accident I was just involved in.
SYM: STEP 2 - Gather Information.
TRAINEE: I'm sorry to hear about the accident. Let's start by making sure we have all the necessary information. May I have your first and last name?
SYM: Pat Davis.
TRAINEE: Thank you, Can you please provide me with your policy number?
SYM: Yes, it's A B C 1 2 3 4 5 6.
TRAINEE: Thank you, Pat. I see your policy here. Now, could you please provide me with the date and time of the accident?
SYM: The accident occurred today, May 17th, 2023, at around 3:30 p.m.
TRAINEE: Got it. And can you briefly describe what happened during the accident?
SYM: I was driving on Main Street when another car ran a red light and crashed into the driver's side of my vehicle. It was a T-bone collision.
TRAINEE: I'm sorry to hear that. Is everyone involved in the accident safe and is anyone injured?
SYM: Fortunately, no one was seriously injured, but both cars sustained significant damage.
TRAINEE: I'm glad to hear that no one was hurt. Safety is our top priority. Now, could you please provide me with the contact and insurance information of the other party involved in the accident?
SYM: The other driver's name is Sarah Johnson, and her phone number is (555) 123 - 4567. I also have her insurance information. Her insurance company is XYZ Insurance, and her policy number is D E F 9 8 7 6 5 4.
TRAINEE: Thank you for providing that information, Pat. Now, I need to gather some details about your vehicle. Can you please provide me with the make, model, and year of your car?
SYM: Sure. I drive a 2018 Honda Accord.
TRAINEE: Great. And do you have any photos of the accident scene or the damage to your vehicle?
SYM: Yes, I took some pictures with my phone. I can send them to you if needed.
TRAINEE: That would be helpful, Pat. Please send the photos to our dedicated claims email address, which is claims@insurance.com. Make sure to include your policy number and a brief description of the accident in the email.
SYM: Okay, I'll do that right away.
TRAINEE: Thank you, Pat. Lastly, is there anything else you would like to add or any specific questions you have about the claims process?
SYM: Not at the moment. I just want to get my car repaired as soon as possible.
SYM: STEP 3 - Setting Expectations.
TRAINEE: Understood, Pat. We will do our best to expedite the claims process for you. Once we receive your email with the photos, an adjuster will be assigned to your case, and they will reach out to you within the next 24 to 48 hours to discuss the next steps.
SYM: I appreciate it.
TRAINEE: Is there a preferred phone number or email address where they can contact you?
SYM: Yes, they can reach me at (555) 987 - 6543 and my email is pat@email.com.
SYM: STEP 4 - Closing.
TRAINEE: Perfect, I have noted down your preferred contact information, and the adjuster will be in touch soon. Thank you for reporting the accident, and we will assist you throughout the entire claims process. If you have any further questions, please don't hesitate to reach out to us.
SYM: Thank you. I appreciate your help.
TRAINEE: You're welcome, Pat. Take care, and we'll be in touch soon.
SYM: This concludes your simulation.","The customer needs to file a car insurance claim for a T-bone collision that occurred on May 17th, 2023.","[""Gather the customer's personal and policy information, including name, policy number, and accident details."", 'Collect details about the accident, such as date, time, description, and information about the other party involved.', 'Obtain vehicle details, including make, model, and year, and request photos of the damage to be sent via email.', 'Set expectations by explaining the claims process, assigning an adjuster, and confirming preferred contact information for follow-up.']"
C2 Car insurance claim - FNOL – Step 1 (Opening),"SYM: In this simulation, you will learn how to do an opening of a call, regarding a car insurance claim.
SYM: STEP 1 - Opening.
SYM: [Phone rings]
TRAINEE: Thank you for calling ABC Insurance. My name is [YOUR NAME]. How may I assist you today?
SYM: Hi, My name is Pat Davis. I need to file a car insurance claim for an accident I was just involved in.
SYM: This concludes your simulation.",The customer needs to file a car insurance claim for a recent accident.,"[""Step 1: Gather the customer's personal and policy information."", 'Step 2: Collect details about the accident, including date, time, location, and involved parties.', 'Step 3: Guide the customer through the claim submission process and provide next steps.']"
Copy OSA - Parity 2.0 1,"TRAINEE: Thank you for calling Northwestern Mutual, Underwriting Case Management, this is ________. How may I help you?
SYM: Hi! This is Norm Weston calling from John Barrett's office. This case for Marty Juana has taken forever, what is the underwriter waiting on?
TRAINEE: Hi Norm, may I start with a policy number to get started?
SYM: This case for Marty Juana has taken forever, what is the underwriter waiting on? The policy number is T195129.
TRAINEE: Thank you, Norm. Give me one moment to pull up the case.
TRAINEE: Thank you, Norm, I do have Marty's case pulled up here. You would like to talk about what will move this case to approval, is that correct?
SYM: Yes, that is what I'm looking for.
TRAINEE: Please give me a moment so I can review the details of the case and see what we can do to get this moving.
SYM: Sounds good!
TRAINEE: Thank you so much, I am all up to speed on this case. It looks like we are awaiting records from Dr. Smith's office and that a special authorization was sent to your office by the APS vendor to be reviewed. Do you have a copy of that completed form?
SYM: No, I thought you sent it to the client and not just to me.
TRAINEE: Thank you, Norm. Let me take a moment to review the notes from our APS vendor to determine where the document was sent.
SYM: Please do, I hope you sent it to the client.
TRAINEE: It doesn't appear that this was sent directly to the client, instead it was sent to your office to facilitate that request. I can have that resent to you right away.
SYM: Ok, that is fine. Do you really need these records though? It's been a long time.
TRAINEE: It does look from the notes that the underwriter does require these notes in order to reach the final decision, however, I will put in a note requesting for a risk review and the underwriter will reach out with that information. In the meantime, I'll get the form over to you to reduce any further delay.
SYM: That sounds fair. Thank you.
TRAINEE: Of course. Is there anything else I can assist you with?
SYM: No, that was all.
TRAINEE: Awesome, well thank you so much for putting your trust in Northwestern Mutual. Have a great rest of your day.
SYM: Thank you, you as well!",The customer is calling to inquire about the delay in approving Marty Juana's case and what the underwriter is waiting for.,"['Verify the policy number and pull up the case details.', ""Review the case to identify pending items, such as records from Dr. Smith's office and a special authorization form."", ""Check where the authorization form was sent and resend it to the customer's office if necessary."", 'Place a note for a risk review with the underwriter to expedite the decision.']"
Copy TLE eApp-Final Producer Signature 2,"SYM: Da da da da.
SYM: You did it! You have made it to the last sym of the TLE e Application module.
SYM: Let’s get this application submitted and our customer covered!
SYM: What did we learn today? Take a moment to review some of the key learnings from this sym.
SYM: Click the lightbulb when you are ready to continue.
SYM: Congratulations! You did it! You have completed the initial TLE eApplication training. I still have a few things to teach you, but you have accomplished a huge milestone getting through the application!
SYM: I am so proud of you! Give yourself a pat on the back and eat some cake or something! You deserve it.","The transcript is a training simulation completion message, not a customer call.",['No action required as this is not a real customer issue.']
